id, address, area, category, base price, sale price, competitors count, notes
1, 臺東縣台東市台東段513-3地號, 243.00, 商業區, "20,251,620", , , 
2, 臺東縣台東市南榮段1003地號, 439.83（國有持分868/1000，面積約381.77平方公尺）, 住宅區, "11,734,380", , , 
2, 臺東縣台東市南榮段1003-1地號, 50.78（國有持分868/1000，面積約44.08平方公尺）, 農業區, "11,734,380", , ,
2, 臺東縣台東市南榮段1004地號, 645.21, 農業區, "11,734,380", , ,
3, 臺東縣成功鎮忠仁段724地號, 593.35, 商業區, "11,392,320", , , 
4, 臺東縣關山鎮中福段677地號, 74.08, 住宅區, "1,377,191", "1,680,000", 7, 標脫
4, 臺東縣關山鎮中福段59建號, 140.96, , "1,377,191", "1,680,000", 7,
5, 臺東縣東河鄉高原段474-2地號, 77.00, 森林區丙種建築用地, "247,940", , , 
6, 臺東縣東河鄉高原段994-16地號, 6520.00, 森林區農牧用地, "3,972,470", "4,003,300", 1, 標脫
6, 臺東縣東河鄉高原段1003地號, 213.00, 森林區農牧用地, "3,972,470", "4,003,300", 1,
1, 花蓮縣花蓮市慈雲段201地號, 295.40, 農業區, "3,143,056", , , 
2, 花蓮縣花蓮市慈雲段202地號, 135.01, 農業區, "1,436,506", , , 
3, 花蓮縣花蓮市四維段72地號, 100.19, 農業區, "562,066", "600,000", 1, 
4, 花蓮縣吉安鄉慈惠段1267地號, 123.04, 住一住宅區, "5,546,643", , , 
5, 花蓮縣吉安鄉吉興段151-3地號, 2.95, 第一種商業區, "119,859", , , 
6, 花蓮縣吉安鄉吉興段150-1地號, 3.59, 住宅區, "281,566", "281,600", 1, 
6, 花蓮縣吉安鄉吉興段151-1地號, 3.34, 住宅區, "281,566", "281,600", 1,
7, 花蓮縣鳳林鎮鳳仁段151地號, 268, 農業區, "466,320", , , 
1, 宜蘭縣宜蘭市金六結段五結小段113-22地號, 33.00, 住宅區, "2,421,230", , , 
1, 宜蘭縣宜蘭市金六結段五結小段G0028建號之未辦保存登記建物（宜蘭市泰山路復國巷59號）, 33.57, 住宅區, "2,421,230", , ,
2, 宜蘭縣宜蘭市建蘭段135地號, 141.00, 農業區, "7,657,710", "8,000,000", 1, 得標
3, 宜蘭縣壯圍鄉新福段860地號, 173.00, 特定農業區甲種建築用地, "1,868,400", "1,989,999", 3, 得標
4, 宜蘭縣壯圍鄉新福段861地號, 103.00, 特定農業區農牧用地, "462,470", , , 
5, 宜蘭縣員山鄉員山段193地號, 624.47（國有持分165/400，面積約257.59平方公尺）, 農業區, "4,816,933", , , 
6, 宜蘭縣員山鄉深洲段740地號, 151.16, 特定農業區甲種建築用地, "7,370,942", , , 
6, 宜蘭縣員山鄉深洲段742地號, 374.96, 特定農業區甲種建築用地, "7,370,942", , ,
7, 宜蘭縣羅東鎮東光段1160地號, 72.00, 住宅區, "5,135,040", "5,155,555", 1, 得標
8, 宜蘭縣五結鄉三興段550地號, 21.32（國有持分7/10，面積約14.92平方公尺）, 住宅區, "1,757,242", , , 
8, 宜蘭縣五結鄉三興段551地號, 154.36（國有持分7/10，面積約108.05平方公尺）, 住宅區, "1,757,242", , ,
9, 宜蘭縣冬山鄉太和段430地號, 384.84, 一般農業區甲種建築用地, "4,560,354", , , 
10, 宜蘭縣三星鄉二萬五段331地號, 356.63, 特定農業區甲種建築用地, "4,988,843", "5,036,000", 2, 得標
10, 宜蘭縣三星鄉二萬五段332-2地號, 114.46, 特定農業區甲種建築用地, "4,988,843", "5,036,000", 2,
11, 宜蘭縣三星鄉頂義段688地號, 695.00, 特定農業區甲種建築用地, "10,800,300", "13,413,800", 3, 得標
12, 宜蘭縣蘇澳鎮蘇市段825地號, 80.55, 商業區, "1,735,853", , , 
13, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分18/10000，面積約1.62平方公尺）, 商業區, "402,535", , , 
13, 宜蘭縣蘇澳鎮蘇港段113建號（蘇澳鎮蘇東中路14號八樓之9）, 約36.46, 商業區, "402,535", , ,
14, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分33/10000，面積約2.97平方公尺）, 商業區, "913,974", , , 
14, 宜蘭縣蘇澳鎮蘇港段119建號（蘇澳鎮蘇東中路14號九樓之6）, 約74.60, 商業區, "913,974", , ,
15, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分20/10000，面積約1.80平方公尺）, 商業區, "475,902", , , 
15, 宜蘭縣蘇澳鎮蘇港段129建號（蘇澳鎮蘇東中路14號九樓之16）, 約43.10, 商業區, "475,902", , ,
1, 桃園縣桃園市會稽段257地號, 52.77(持分1/5), 住宅區, "991,911", , , 
2, 桃園縣桃園市大樹林段9491建號, 431.35, 商業區, "28,778,190", , , 
2, 桃園縣桃園市大樹林段1911地號, "1,630(持分3484/100000)", 商業區, "28,778,190", , ,
3, 桃園縣桃園市龍鳳段329建號, 87.10, 第二種住宅區, "7,335,901", "7,399,900", 1, 
3, 桃園縣桃園市龍鳳段512地號, 68.71, 第二種住宅區, "7,335,901", "7,399,900", 1,
4, 桃園縣八德市同福段86地號, 61.94, 農業區, "2,817,651", "3,031,000", 5, 
6, 桃園縣楊梅市梅獅段772地號, 205.53, 住宅區, "5,285,935", , , 
6, 桃園縣楊梅市梅獅段773地號, 13.15, 農業區, "5,285,935", , ,
7, 桃園縣楊梅市秀才路178巷5弄23號, 347.20, 農業區, "5,334,266", "5,339,000", 1, 
7, 桃園縣楊梅市大平段1230地號, 200.14, 農業區, "5,334,266", "5,339,000", 1,
8, 桃園縣龍潭鄉新烏樹林段184建號, 77.38, 一般農業區甲種建築用地, "3,329,926", , , 
8, 桃園縣龍潭鄉新烏樹林段484地號, 51.38, 一般農業區甲種建築用地, "3,329,926", , ,
9, 桃園縣龍潭鄉九座寮段2870建號, 161.70(含已登記面積100平方公尺，未登記面積61.70平方公尺), 鄉村區乙種建築用地, "3,309,900", , , 
9, 桃園縣龍潭鄉九座寮段196-168地號, 65.00, 鄉村區乙種建築用地, "3,309,900", , ,
